INFO | 2018-10-08 12:24:47,056 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/admin/home],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.LoginController.adminCenter(javax.servlet.http.HttpServletRequest) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,056 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/login],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.LoginController.getLogin() throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,057 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/turnLoad],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.LoginController.turnLoad(java.lang.String)
INFO | 2018-10-08 12:24:47,057 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/staffLogin],methods=[POST]}" onto public com.cxgm.common.ResultDto<com.cxgm.domain.AdminLogin> com.cxgm.controller.LoginController.staffLogin(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.cxgm.domain.AdminLogin)
INFO | 2018-10-08 12:24:47,057 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/changeLang],methods=[GET]}" onto public java.lang.String com.cxgm.controller.LoginController.changeLang(java.lang.String)
INFO | 2018-10-08 12:24:47,057 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/toH5],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.LoginController.toH5(java.lang.String)
INFO | 2018-10-08 12:24:47,058 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/motion/update],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.MotionController.update(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.lang.String) throws java.lang.Exception
INFO | 2018-10-08 12:24:47,058 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/motion/save],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.MotionController.save(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.lang.String) throws java.lang.Exception
INFO | 2018-10-08 12:24:47,058 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/motion/toProductList],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.MotionController.toProductList(javax.servlet.http.HttpServletRequest,java.lang.Integer) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,059 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/motion/toAdd],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.MotionController.motionToAdd(javax.servlet.http.HttpServletRequest) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,059 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/motion/list],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.MotionController.motionList(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.Integer)
INFO | 2018-10-08 12:24:47,059 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/motion/product/list],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.MotionController.productList(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.String,java.lang.String) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,059 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/motion/toEdit],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.MotionController.motionToEdit(javax.servlet.http.HttpServletRequest,java.lang.Integer) throws java.sql.SQLException,java.io.UnsupportedEncodingException,javax.xml.soap.SOAPException,javax.xml.rpc.ServiceException,java.io.IOException
